102/192: MAE = 1.7318 ± 1.0178, params = {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.3}
103/192: MAE = 4.4677 ± 2.6965, params = {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.1}
104/192: MAE = 2.5889 ± 1.2940, params = {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.2}
105/192: MAE = 1.1596 ± 0.8279, params = {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.3}
106/192: MAE = 5.2440 ± 2.7364, params = {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.1}
107/192: MAE = 3.2165 ± 1.5746, params = {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.2}
108/192: MAE = 1.3242 ± 0.9014, params = {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.3}
109/192: MAE = 5.6531 ± 3.0167, params = {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.1}
110/192: MAE = 2.4022 ± 1.3567, params = {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.2}
111/192: MAE = 1.4414 ± 0.7676, params = {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.3}
112/192: MAE = 5.5628 ± 2.7072, params = {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.1}
113/192: MAE = 2.7087 ± 2.1318, params = {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.2}
114/192: MAE = 1.3064 ± 1.1337, params = {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.3}
115/192: MAE = 4.5481 ± 2.3474, params = {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.4, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.1}
116/192: MAE = 2.9930 ± 2.0841, params = {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.4, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.2}
117/192: MAE = 1.3102 ± 0.7703, params = {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.4, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.3}
118/192: MAE = 5.8677 ± 3.0628, params = {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.4, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.1}
119/192: MAE = 2.3701 ± 1.9027, params = {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.4, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.2}
120/192: MAE = 1.2870 ± 0.9451, params = {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.4, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.3}
121/192: MAE = 5.3947 ± 3.3308, params = {'n_particles': 40, 'w_max': 0.9, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.1}
122/192: MAE = 2.9873 ± 2.4315, params = {'n_particles': 40, 'w_max': 0.9, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.2}
123/192: MAE = 1.2597 ± 1.1218, params = {'n_particles': 40, 'w_max': 0.9, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.3}
124/192: MAE = 5.4355 ± 2.7032, params = {'n_particles': 40, 'w_max': 0.9, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.1}
125/192: MAE = 2.3184 ± 1.5560, params = {'n_particles': 40, 'w_max': 0.9, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.2}
126/192: MAE = 1.3310 ± 0.8300, params = {'n_particles': 40, 'w_max': 0.9, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.3}
127/192: MAE = 4.5742 ± 2.7153, params = {'n_particles': 40, 'w_max': 0.9, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.1}
128/192: MAE = 2.1883 ± 1.5441, params = {'n_particles': 40, 'w_max': 0.9, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.2}
129/192: MAE = 1.3573 ± 0.8131, params = {'n_particles': 40, 'w_max': 0.9, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.3}
130/192: MAE = 4.7332 ± 3.4596, params = {'n_particles': 40, 'w_max': 0.9, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.1}
131/192: MAE = 2.5047 ± 1.1857, params = {'n_particles': 40, 'w_max': 0.9, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.2}
132/192: MAE = 1.2270 ± 0.8028, params = {'n_particles': 40, 'w_max': 0.9, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.3}
133/192: MAE = 5.6823 ± 2.5762, params = {'n_particles': 40, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.1}
134/192: MAE = 2.0293 ± 1.6758, params = {'n_particles': 40, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.2}
135/192: MAE = 1.2664 ± 0.8620, params = {'n_particles': 40, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.3}
136/192: MAE = 4.7236 ± 2.5106, params = {'n_particles': 40, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.1}
137/192: MAE = 2.6130 ± 1.5597, params = {'n_particles': 40, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.2}
138/192: MAE = 1.2406 ± 0.8441, params = {'n_particles': 40, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.3}
139/192: MAE = 4.8106 ± 2.7492, params = {'n_particles': 40, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.1}
140/192: MAE = 2.1545 ± 1.1376, params = {'n_particles': 40, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.2}
141/192: MAE = 1.1802 ± 0.8698, params = {'n_particles': 40, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.3}
142/192: MAE = 4.4950 ± 2.4447, params = {'n_particles': 40, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.1}
143/192: MAE = 2.1777 ± 1.5486, params = {'n_particles': 40, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.2}
144/192: MAE = 1.3250 ± 0.8673, params = {'n_particles': 40, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.3}
145/192: MAE = 5.3343 ± 3.0890, params = {'n_particles': 50, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.1}
146/192: MAE = 2.9626 ± 2.1908, params = {'n_particles': 50, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.2}
147/192: MAE = 1.3261 ± 0.8217, params = {'n_particles': 50, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.3}
148/192: MAE = 5.3411 ± 2.8645, params = {'n_particles': 50, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.1}
149/192: MAE = 2.6822 ± 1.8921, params = {'n_particles': 50, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.2}
