=== Optimizer Hyperparameter Tuning: Particle Swarm Optimization ===
Total combinations: 192

72/192 | MAE: 0.884 ± 1.727 | RMSE: 0.884 ± 1.727 | R²: 0.996 | params: {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.4, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.3}
73/192 | MAE: 3.653 ± 7.822 | RMSE: 3.653 ± 7.822 | R²: 0.930 | params: {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.1}
74/192 | MAE: 1.418 ± 3.469 | RMSE: 1.418 ± 3.469 | R²: 0.987 | params: {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.2}
75/192 | MAE: 0.671 ± 0.740 | RMSE: 0.671 ± 0.740 | R²: 0.999 | params: {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.3}
76/192 | MAE: 4.331 ± 7.478 | RMSE: 4.331 ± 7.478 | R²: 0.930 | params: {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.1}
77/192 | MAE: 1.318 ± 3.420 | RMSE: 1.318 ± 3.420 | R²: 0.987 | params: {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.2}
78/192 | MAE: 0.996 ± 1.895 | RMSE: 0.996 ± 1.895 | R²: 0.996 | params: {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.3}
79/192 | MAE: 3.451 ± 6.872 | RMSE: 3.451 ± 6.872 | R²: 0.945 | params: {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.1}
80/192 | MAE: 1.009 ± 2.251 | RMSE: 1.009 ± 2.251 | R²: 0.994 | params: {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.2}
81/192 | MAE: 0.603 ± 0.768 | RMSE: 0.603 ± 0.768 | R²: 0.999 | params: {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.3}
82/192 | MAE: 4.152 ± 8.059 | RMSE: 4.152 ± 8.059 | R²: 0.923 | params: {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.1}
