92/162: MAE = 7.5944 ± 12.7730, params = {'n_init': 10, 'n_iter': 70, 'acquisition_function': 'EI', 'kappa': 1.5, 'xi': 0.01, 'early_stop_patience': 20}
93/162: MAE = 6.1490 ± 11.1505, params = {'n_init': 10, 'n_iter': 70, 'acquisition_function': 'EI', 'kappa': 1.5, 'xi': 0.02, 'early_stop_patience': 20}
94/162: MAE = 7.7127 ± 13.0043, params = {'n_init': 10, 'n_iter': 70, 'acquisition_function': 'EI', 'kappa': 2.5, 'xi': 0.005, 'early_stop_patience': 20}
95/162: MAE = 6.9790 ± 12.5613, params = {'n_init': 10, 'n_iter': 70, 'acquisition_function': 'EI', 'kappa': 2.5, 'xi': 0.01, 'early_stop_patience': 20}
96/162: MAE = 8.2559 ± 12.3306, params = {'n_init': 10, 'n_iter': 70, 'acquisition_function': 'EI', 'kappa': 2.5, 'xi': 0.02, 'early_stop_patience': 20}
97/162: MAE = 11.3313 ± 19.0703, params = {'n_init': 10, 'n_iter': 70, 'acquisition_function': 'PI', 'kappa': 1.5, 'xi': 0.005, 'early_stop_patience': 20}
98/162: MAE = 9.2804 ± 17.0496, params = {'n_init': 10, 'n_iter': 70, 'acquisition_function': 'PI', 'kappa': 1.5, 'xi': 0.01, 'early_stop_patience': 20}
99/162: MAE = 10.7256 ± 18.2346, params = {'n_init': 10, 'n_iter': 70, 'acquisition_function': 'PI', 'kappa': 1.5, 'xi': 0.02, 'early_stop_patience': 20}
100/162: MAE = 10.4766 ± 18.0698, params = {'n_init': 10, 'n_iter': 70, 'acquisition_function': 'PI', 'kappa': 2.5, 'xi': 0.005, 'early_stop_patience': 20}
101/162: MAE = 9.7142 ± 16.0744, params = {'n_init': 10, 'n_iter': 70, 'acquisition_function': 'PI', 'kappa': 2.5, 'xi': 0.01, 'early_stop_patience': 20}
102/162: MAE = 10.5982 ± 17.4545, params = {'n_init': 10, 'n_iter': 70, 'acquisition_function': 'PI', 'kappa': 2.5, 'xi': 0.02, 'early_stop_patience': 20}
103/162: MAE = 14.1836 ± 20.5541, params = {'n_init': 10, 'n_iter': 70, 'acquisition_function': 'UCB', 'kappa': 1.5, 'xi': 0.005, 'early_stop_patience': 20}
104/162: MAE = 15.7914 ± 22.7054, params = {'n_init': 10, 'n_iter': 70, 'acquisition_function': 'UCB', 'kappa': 1.5, 'xi': 0.01, 'early_stop_patience': 20}
105/162: MAE = 14.7480 ± 19.7387, params = {'n_init': 10, 'n_iter': 70, 'acquisition_function': 'UCB', 'kappa': 1.5, 'xi': 0.02, 'early_stop_patience': 20}
106/162: MAE = 15.6523 ± 21.3270, params = {'n_init': 10, 'n_iter': 70, 'acquisition_function': 'UCB', 'kappa': 2.5, 'xi': 0.005, 'early_stop_patience': 20}
