96/150: MAE = 18.5030 ± 1.6109, params = {'initial_temperature': 200, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.2}
97/150: MAE = 24.2402 ± 3.4475, params = {'initial_temperature': 200, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.1}
98/150: MAE = 19.1239 ± 6.3633, params = {'initial_temperature': 200, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.2}
99/150: MAE = 23.3983 ± 3.0981, params = {'initial_temperature': 200, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.1}
100/150: MAE = 17.0934 ± 2.0681, params = {'initial_temperature': 200, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.2}
101/150: MAE = 21.3268 ± 4.5012, params = {'initial_temperature': 200, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.1}
102/150: MAE = 16.3627 ± 2.9708, params = {'initial_temperature': 200, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.2}
103/150: MAE = 22.8532 ± 5.2550, params = {'initial_temperature': 200, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.1}
104/150: MAE = 17.4936 ± 4.0791, params = {'initial_temperature': 200, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.2}
105/150: MAE = 22.5594 ± 6.9194, params = {'initial_temperature': 200, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.1}
106/150: MAE = 17.6451 ± 3.3732, params = {'initial_temperature': 200, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.2}
107/150: MAE = 21.3328 ± 3.8180, params = {'initial_temperature': 200, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.1}
108/150: MAE = 17.9840 ± 4.3981, params = {'initial_temperature': 200, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.2}
109/150: MAE = 21.6715 ± 2.6447, params = {'initial_temperature': 200, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.1}
110/150: MAE = 16.6611 ± 5.5697, params = {'initial_temperature': 200, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.2}
111/150: MAE = 20.1018 ± 3.0771, params = {'initial_temperature': 200, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.1}
112/150: MAE = 19.8813 ± 1.9865, params = {'initial_temperature': 200, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.2}
113/150: MAE = 20.9551 ± 3.1039, params = {'initial_temperature': 200, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.1}
114/150: MAE = 18.9991 ± 4.5601, params = {'initial_temperature': 200, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.2}
115/150: MAE = 21.2892 ± 2.3390, params = {'initial_temperature': 200, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.1}
116/150: MAE = 18.3533 ± 4.7427, params = {'initial_temperature': 200, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.2}
117/150: MAE = 20.1248 ± 3.0184, params = {'initial_temperature': 200, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.1}
118/150: MAE = 20.0980 ± 5.7778, params = {'initial_temperature': 200, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.2}
119/150: MAE = 21.4878 ± 4.6807, params = {'initial_temperature': 200, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.1}
120/150: MAE = 19.7297 ± 4.5140, params = {'initial_temperature': 200, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.2}
121/150: MAE = 22.8902 ± 5.4522, params = {'initial_temperature': 300, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.1}
122/150: MAE = 17.3664 ± 4.6843, params = {'initial_temperature': 300, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.2}
123/150: MAE = 22.1705 ± 4.0570, params = {'initial_temperature': 300, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.1}
124/150: MAE = 18.8924 ± 3.4862, params = {'initial_temperature': 300, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.2}
125/150: MAE = 26.5818 ± 3.0437, params = {'initial_temperature': 300, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.1}
126/150: MAE = 22.6598 ± 2.0650, params = {'initial_temperature': 300, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.2}
127/150: MAE = 22.0623 ± 2.6088, params = {'initial_temperature': 300, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.1}
128/150: MAE = 19.7215 ± 4.1005, params = {'initial_temperature': 300, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.2}
129/150: MAE = 23.3043 ± 3.5342, params = {'initial_temperature': 300, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.1}
130/150: MAE = 20.4298 ± 4.3765, params = {'initial_temperature': 300, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.2}
131/150: MAE = 23.2599 ± 3.9466, params = {'initial_temperature': 300, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.1}
132/150: MAE = 18.1306 ± 5.5524, params = {'initial_temperature': 300, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.2}
133/150: MAE = 21.5702 ± 6.9798, params = {'initial_temperature': 300, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.1}
134/150: MAE = 16.6852 ± 3.5650, params = {'initial_temperature': 300, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.2}
135/150: MAE = 23.6071 ± 4.3746, params = {'initial_temperature': 300, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.1}
136/150: MAE = 17.5866 ± 2.3542, params = {'initial_temperature': 300, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.2}
137/150: MAE = 22.5033 ± 4.3203, params = {'initial_temperature': 300, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.1}
138/150: MAE = 19.2388 ± 4.5253, params = {'initial_temperature': 300, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.2}
139/150: MAE = 24.7624 ± 4.0211, params = {'initial_temperature': 300, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.1}
140/150: MAE = 17.3466 ± 2.4749, params = {'initial_temperature': 300, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.2}
141/150: MAE = 21.6078 ± 5.1569, params = {'initial_temperature': 300, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.1}
142/150: MAE = 18.2201 ± 3.3245, params = {'initial_temperature': 300, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.2}
143/150: MAE = 21.7614 ± 7.0616, params = {'initial_temperature': 300, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.1}
144/150: MAE = 19.9083 ± 7.2657, params = {'initial_temperature': 300, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.2}
145/150: MAE = 21.8556 ± 5.3803, params = {'initial_temperature': 300, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.1}
146/150: MAE = 21.8478 ± 5.6898, params = {'initial_temperature': 300, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.2}
147/150: MAE = 21.8519 ± 5.0543, params = {'initial_temperature': 300, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.1}
148/150: MAE = 18.3406 ± 4.7542, params = {'initial_temperature': 300, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.2}
149/150: MAE = 22.5170 ± 3.1411, params = {'initial_temperature': 300, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.1}
150/150: MAE = 19.7219 ± 5.1882, params = {'initial_temperature': 300, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.2}

=== Best Hyperparameters ===
{'initial_temperature': 100, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.2}
Mean MAE across folds: 15.8307 ± 3.2472
