real_inputs,given_candidate,target,predicted,top_candidates,eval_time_sec
"[12.0, 15.0, 25.0, 0.2]",[11.00172643 10.85783924 18.21659576  0.39608901],272.24,270.64188,"[array([11.00172643, 10.85783924, 18.21659576,  0.39608901]), array([10.87020934, 11.4860925 , 18.41779679,  0.34133071]), array([10.60012556, 12.47790515, 19.13581674,  0.3782014 ]), array([10.97573254, 12.03012111, 17.24826409,  0.37442424]), array([11.39366815, 10.22414585, 18.83348897,  0.381706  ])]",1.047619104385376
"[12.0, 20.0, 15.0, 0.3]",[11.94273299 18.98024564 25.          0.22621961],278.4,277.78784,"[array([11.94273299, 18.98024564, 25.        ,  0.22621961]), array([11.95961754, 18.61112278, 25.        ,  0.2       ]), array([11.68435909, 18.80479522, 25.        ,  0.23178635]), array([11.83650352, 16.75150642, 25.        ,  0.20454498]), array([11.40490255, 18.25222144, 25.        ,  0.20997857])]",0.5540778636932373
"[12.0, 20.0, 20.0, 0.4]",[12.         20.         22.0711385   0.39681075],337.88,323.46802,"[array([12.        , 20.        , 22.0711385 ,  0.39681075]), array([12.        , 20.        , 20.73818967,  0.38517661]), array([12.        , 20.        , 21.10921691,  0.39493279]), array([12.        , 20.        , 20.27071222,  0.39678074]), array([12.        , 20.        , 21.53908038,  0.3977397 ])]",0.7668275833129883
"[12.0, 20.0, 25.0, 0.3]",[12.         20.         20.4106746   0.37575998],334.54,323.46802,"[array([12.        , 20.        , 20.4106746 ,  0.37575998]), array([12.        , 20.        , 20.94759441,  0.39751955]), array([12.        , 20.        , 20.41848423,  0.37814483]), array([12.        , 20.        , 20.01889308,  0.37483691]), array([12.       , 20.       , 21.9736974,  0.397764 ])]",0.5680396556854248
"[12.0, 20.0, 25.0, 0.4]",[12.         20.         20.27386858  0.34103247],342.45,323.46802,"[array([12.        , 20.        , 20.27386858,  0.34103247]), array([12.        , 20.        , 20.92352844,  0.32650411]), array([12.        , 20.        , 21.69114762,  0.38094082]), array([12.        , 20.        , 20.48534946,  0.32070921]), array([12.        , 20.        , 20.66580449,  0.39861524])]",0.5059609413146973
"[9.0, 12.5, 15.0, 0.3]",[ 9.95043435 15.60878255 21.24440176  0.38793548],247.57,247.60135,"[array([ 9.95043435, 15.60878255, 21.24440176,  0.38793548]), array([ 9.43339636, 15.52847075, 21.28131199,  0.3022928 ]), array([ 9.86457821, 17.89278255, 21.95658492,  0.33322507]), array([ 9.75018727, 16.66134046, 21.27725468,  0.38764354]), array([ 9.20966094, 17.37438   , 21.54553292,  0.38778435])]",0.5401642322540283
"[10.0, 12.5, 22.5, 0.25]",[10.46918345 12.97399846 17.59137316  0.27266476],260.71,260.83365,"[array([10.46918345, 12.97399846, 17.59137316,  0.27266476]), array([11.29700569, 13.36453407, 18.18210259,  0.27805465]), array([10.46918345, 12.97399846, 17.59137316,  0.27266476]), array([11.01971593, 13.66633383, 17.69994455,  0.28400757]), array([10.15832715, 13.50001223, 16.39445893,  0.26508506])]",0.5314719676971436
"[8.0, 10.0, 20.0, 0.4]",[ 9.33754918 16.10809646 23.06803755  0.34067774],249.21,249.6855,"[array([ 9.33754918, 16.10809646, 23.06803755,  0.34067774]), array([ 9.0474878 , 15.73181253, 22.63695086,  0.35434773]), array([ 9.63438144, 15.03943651, 23.02018793,  0.35804698]), array([ 9.28694677, 16.79034997, 22.9339813 ,  0.32946397]), array([ 9.44751314, 17.62945025, 22.72693326,  0.3529834 ])]",0.7391436100006104
"[8.0, 15.0, 15.0, 0.2]",[ 8.         13.93226402 24.3539428   0.28451959],221.1,220.98538,"[array([ 8.        , 13.93226402, 24.3539428 ,  0.28451959]), array([ 8.6063558 , 13.5051324 , 22.50967007,  0.28018162]), array([ 8.        , 14.8014426 , 24.17658864,  0.2625662 ]), array([ 8.        , 13.21287384, 24.34855152,  0.29497751]), array([ 8.        , 12.54876785, 24.78829186,  0.27959045])]",1.8885841369628906
"[8.0, 15.0, 15.0, 0.4]",[ 9.67059408 19.92718276 15.99162913  0.32786384],242.32,242.3283,"[array([ 9.67059408, 19.92718276, 15.99162913,  0.32786384]), array([ 9.84546671, 16.11193416, 17.5463993 ,  0.35747145]), array([ 9.36222288, 16.88711127, 16.23985162,  0.30819392]), array([ 9.67059408, 19.92718276, 15.99162913,  0.32786384]), array([ 9.55111974, 19.64267579, 15.99243794,  0.33953307])]",0.4988672733306885
"[8.0, 15.0, 25.0, 0.2]",[ 8.25145495 13.79349488 25.          0.27923959],202.62,202.33572,"[array([ 8.25145495, 13.79349488, 25.        ,  0.27923959]), array([ 8.31572133, 14.18945384, 25.        ,  0.26625679]), array([ 8.31051411, 14.11317377, 25.        ,  0.2981103 ]), array([ 8.        , 13.23316009, 25.        ,  0.2940321 ]), array([ 8.        , 12.55909791, 25.        ,  0.29039639])]",0.463270902633667
"[8.0, 15.0, 25.0, 0.3]",[ 8.         14.81232905 25.          0.3131406 ],208.21,206.36801,"[array([ 8.        , 14.81232905, 25.        ,  0.3131406 ]), array([ 8.        , 14.57763386, 25.        ,  0.32731378]), array([ 8.        , 13.42453615, 25.        ,  0.35963863]), array([ 8.        , 13.88555796, 25.        ,  0.36204981]), array([ 8.        , 13.42906844, 25.        ,  0.32192991])]",0.47409510612487793
"[10.0, 10.0, 15.0, 0.3]",[10.07448616 16.18829706 22.85329551  0.25030979],270.05,271.3228,"[array([10.07448616, 16.18829706, 22.85329551,  0.25030979]), array([10.13257338, 16.03575348, 22.71660508,  0.25603281]), array([10.54596578, 15.50107031, 23.67665664,  0.28356761]), array([10.07448616, 16.18829706, 22.85329551,  0.25030979]), array([10.64411552, 15.31796677, 22.98994086,  0.26902137])]",0.40366148948669434
"[10.0, 10.0, 25.0, 0.4]",[ 9.41939933 17.41818266 15.01260044  0.26981843],238.74,238.68713,"[array([ 9.41939933, 17.41818266, 15.01260044,  0.26981843]), array([ 9.41939933, 17.41818266, 15.01260044,  0.26981843]), array([ 9.19393163, 15.81469319, 19.35253086,  0.2697249 ]), array([ 9.57520677, 15.35408493, 19.35060205,  0.25586823]), array([ 9.27265496, 18.33154334, 15.10076703,  0.27279667])]",0.39668941497802734
"[10.0, 15.0, 20.0, 0.2]",[11.11878427 19.58724886 21.80385902  0.4       ],284.2,284.75574,"[array([11.11878427, 19.58724886, 21.80385902,  0.4       ]), array([11.03093261, 17.00339171, 22.        ,  0.4       ]), array([10.89307351, 17.8478644 , 22.        ,  0.4       ]), array([11.04425792, 18.13248858, 22.33002112,  0.4       ]), array([10.79045151, 18.70472732, 22.        ,  0.4       ])]",0.5036885738372803
