real_inputs,given_candidate,target,predicted,top_candidates,eval_time_sec
"[12.0, 20.0, 20.0, 0.3]",[11.77876385 18.64631102 20.59001484  0.29481547],327.77,271.65073,"[array([11.77876385, 18.64631102, 20.59001484,  0.29481547]), array([10.41179795, 19.97936186, 16.25495461,  0.31826603]), array([10.04008859, 13.16895294, 20.03507692,  0.2131107 ]), array([10.98316008, 13.94593503, 20.57772874,  0.28634914]), array([11.08694941, 12.85784151, 17.69852116,  0.25320607])]",0.00805211067199707
"[10.0, 20.0, 22.5, 0.3]",[11.16263148 11.04083233 17.02443223  0.26376158],300.27,264.9079,"[array([11.16263148, 11.04083233, 17.02443223,  0.26376158]), array([11.9047359 , 19.93192625, 19.43267793,  0.24497546]), array([11.41333397, 10.28019627, 22.73963114,  0.35975047]), array([ 9.9564548 , 19.69774614, 15.08792947,  0.39621618]), array([ 8.18596288, 11.04226568, 16.35275988,  0.38507252])]",0.00785684585571289
"[10.0, 20.0, 22.5, 0.25]",[10.56752051 10.71195337 18.87154423  0.38974567],272.03,271.9313,"[array([10.56752051, 10.71195337, 18.87154423,  0.38974567]), array([10.52349413, 16.15647572, 19.52813769,  0.34480448]), array([11.35120108, 15.41897299, 22.26347083,  0.21809595]), array([11.77523307, 13.75425648, 20.2670645 ,  0.22776016]), array([11.77585782, 17.09221153, 19.9100216 ,  0.21347812])]",0.00796198844909668
"[9.0, 20.0, 22.5, 0.25]",[ 9.92946127 14.04059295 18.39881149  0.3799075 ],252.5,245.3647,"[array([ 9.92946127, 14.04059295, 18.39881149,  0.3799075 ]), array([10.85723171, 12.51523174, 18.9682087 ,  0.32646438]), array([10.01057144, 13.14588884, 15.52034547,  0.30616333]), array([10.4718321 , 16.2531763 , 22.95205901,  0.29938677]), array([11.78979245, 14.27404706, 21.73731087,  0.36222114])]",0.00780797004699707
"[9.0, 12.5, 22.5, 0.25]",[ 8.21721693 17.11199146 19.442323    0.2564483 ],231.97,228.2429,"[array([ 8.21721693, 17.11199146, 19.442323  ,  0.2564483 ]), array([ 9.42155265, 15.83524567, 19.29478074,  0.36397208]), array([11.45510031, 10.28895075, 24.60211524,  0.36745487]), array([10.35029462, 19.81339495, 16.88105326,  0.21655592]), array([10.65849179, 18.14706573, 23.54999437,  0.33740594])]",0.007997751235961914
"[8.0, 10.0, 15.0, 0.3]",[ 8.41208508 11.6644636  16.89367521  0.36901263],235.5,235.31299,"[array([ 8.41208508, 11.6644636 , 16.89367521,  0.36901263]), array([ 8.51845965, 15.27693213, 16.84647124,  0.36090839]), array([ 9.29382965, 15.08614559, 23.039659  ,  0.20448725]), array([ 9.48548038, 13.28648857, 19.41910399,  0.26986217]), array([ 9.03312965, 12.7887512 , 19.75077078,  0.28822831])]",0.010590314865112305
"[8.0, 10.0, 15.0, 0.4]",[ 9.68331677 11.09220246 15.8332307   0.26013414],252.02,249.50931,"[array([ 9.68331677, 11.09220246, 15.8332307 ,  0.26013414]), array([ 9.66044159, 19.12220205, 16.40044738,  0.33407969]), array([11.66495072, 13.82503421, 24.6368452 ,  0.21885727]), array([11.93006937, 13.4591505 , 19.49963967,  0.35732525]), array([10.1619722 , 18.80337377, 18.92182597,  0.24125061])]",0.010867834091186523
"[8.0, 15.0, 20.0, 0.4]",[ 9.96962282 16.85772108 17.81307249  0.22961513],242.01,245.15494,"[array([ 9.96962282, 16.85772108, 17.81307249,  0.22961513]), array([ 9.02714634, 18.29632907, 20.18014874,  0.28860871]), array([ 9.921759  , 17.5566026 , 18.57459867,  0.27835089]), array([ 9.91799439, 10.38541715, 18.97131277,  0.2837114 ]), array([ 8.54048506, 17.32600058, 21.23792576,  0.3176836 ])]",0.010474205017089844
"[8.0, 20.0, 15.0, 0.4]",[ 8.23104301 17.20949873 17.16934648  0.28247382],206.28,226.22742,"[array([ 8.23104301, 17.20949873, 17.16934648,  0.28247382]), array([ 8.55044911, 11.27191999, 21.39907038,  0.23183621]), array([ 8.42300281, 11.0919841 , 16.89245726,  0.20354225]), array([ 8.40786968, 10.50509408, 16.18650845,  0.27252686]), array([ 8.16169987, 11.48515362, 15.82490668,  0.35669771])]",0.010006904602050781
"[8.0, 20.0, 20.0, 0.2]",[ 8.86342248 15.51552826 23.57999474  0.20524282],206.69,221.61697,"[array([ 8.86342248, 15.51552826, 23.57999474,  0.20524282]), array([ 8.60955917, 16.28269657, 23.26719557,  0.26894729]), array([ 8.45230751, 15.27537678, 22.95807963,  0.37959313]), array([ 9.79511117, 13.4346935 , 17.11416348,  0.28350753]), array([ 9.39607115, 17.19802771, 24.98480534,  0.3637496 ])]",0.008488893508911133
